Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
smallEngineBundledDesc,items,Item,,,"This is a compact stack of engines. Use this item to open and unpack it.",,,,,,,,,,,,,,
modDyeBlackBundleDesc,items,Item,,,"This is a container to hold your dye in one slot! (Also, for an unknown reason, you can only bundle 1 dye at a time.)",,,,,,,,,,,,,,
modDyeBlueBundleDesc,items,Item,,,"This is a container to hold your dye in one slot! (Also, for an unknown reason, you can only bundle 1 dye at a time.)",,,,,,,,,,,,,,
modDyeBrownBundleDesc,items,Item,,,"This is a container to hold your dye in one slot! (Also, for an unknown reason, you can only bundle 1 dye at a time.)",,,,,,,,,,,,,,
modDyeGreenBundleDesc,items,Item,,,"This is a container to hold your dye in one slot! (Also, for an unknown reason, you can only bundle 1 dye at a time.)",,,,,,,,,,,,,,
modDyePinkBundleDesc,items,Item,,,"This is a container to hold your dye in one slot! (Also, for an unknown reason, you can only bundle 1 dye at a time.)",,,,,,,,,,,,,,
modDyePurpleBundleDesc,items,Item,,,"This is a container to hold your dye in one slot! (Also, for an unknown reason, you can only bundle 1 dye at a time.)",,,,,,,,,,,,,,
modDyeRedBundleDesc,items,Item,,,"This is a container to hold your dye in one slot! (Also, for an unknown reason, you can only bundle 1 dye at a time.)",,,,,,,,,,,,,,
modDyeYellowBundleDesc,items,Item,,,"This is a container to hold your dye in one slot! (Also, for an unknown reason, you can only bundle 1 dye at a time.)",,,,,,,,,,,,,,
modDyeOrangeBundleDesc,items,Item,,,"This is a container to hold your dye in one slot! (Also, for an unknown reason, you can only bundle 1 dye at a time.)",,,,,,,,,,,,,,
modDyeBlackBundle,items,Item,,,"[DECEA3]Dye: [ffffff]Black (Bundled)",,,,,,,,,,,,,,
modDyeBlack,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Black",,,,,,,,,,,,,,
modDyeBlueBundle,items,Item,,,"[DECEA3]Dye: [ffffff]Blue (Bundled)",,,,,,,,,,,,,,
modDyeBlue,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Blue",,,,,,,,,,,,,,
modDyeBrownBundle,items,Item,,,"[DECEA3]Dye: [ffffff]Brown (Bundled)",,,,,,,,,,,,,,
modDyeBrown,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Brown",,,,,,,,,,,,,,
modDyeGreenBundle,items,Item,,,"[DECEA3]Dye: [ffffff]Green (Bundled)",,,,,,,,,,,,,,
modDyeGreen,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Green",,,,,,,,,,,,,,
modDyeOrange,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Orange",,,,,,,,,,,,,,
modDyeOrangeBundle,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Orange (Bundled)",,,,,,,,,,,,,,
modDyePinkBundle,items,Item,,,"[DECEA3]Dye: [ffffff]Pink (Bundled)",,,,,,,,,,,,,,
modDyePink,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Pink",,,,,,,,,,,,,,
modDyePurpleBundle,items,Item,,,"[DECEA3]Dye: [ffffff]Purple (Bundled)",,,,,,,,,,,,,,
modDyePurple,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Purple",,,,,,,,,,,,,,
modDyeRedBundle,items,Item,,,"[DECEA3]Dye: [ffffff]Red (Bundled)",,,,,,,,,,,,,,
modDyeRed,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Red",,,,,,,,,,,,,,
modDyeWhite,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]White",,,,,,,,,,,,,,
modDyeYellowBundle,items,Item,,,"[DECEA3]Dye: [ffffff]Yellow (Bundled)",,,,,,,,,,,,,,
modDyeYellow,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Yellow",,,,,,,,,,,,,,
modDyeInvisible,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Invisible",,,,,,,,,,,,,,
