Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german

zombieMutated,entityclasses,Entity,,,Poldi,,Poldi
zombieMutatedFeral,entityclasses,Entity,,,Feral Poldi,,Wilder Poldi
zombieMutatedRadiated,entityclasses,Entity,,,Radiated Poldi,,Verstrahlter Poldi

zombiePartyGirl,entityclasses,Entity,,,Monique,,Monique
zombiePartyGirlFeral,entityclasses,Entity,,,Feral Monique,,Wilde Monique
zombiePartyGirlRadiated,entityclasses,Entity,,,Radiated Monique,,Verstrahlte Monique

zombieSpider,entityclasses,Entity,,,Peter,,Peter
zombieSpiderFeral,entityclasses,Entity,,,Feral Peter,,Wilder Peter
zombieSpiderRadiated,entityclasses,Entity,,,Radiated Peter,,Verstrahlter Peter

zombieUtilityWorker,entityclasses,Entity,,,Bob,,Bob
zombieUtilityWorkerFeral,entityclasses,Entity,,,Feral Bob,,Wilder Bob
zombieUtilityWorkerRadiated,entityclasses,Entity,,,Radiated Bob,,Verstrahlter Bob

zombieWightFeral,entityclasses,Entity,,,Feral Roger,,Wildes Roger
zombieWightRadiated,entityclasses,Entity,,,Radiated Roger,,Verstrahltes Roger

zombieBoe,entityclasses,Entity,,,Jesse,,Jesse
zombieBoeFeral,entityclasses,Entity,,,Feral Jesse,,Wilder Jesse
zombieBoeRadiated,entityclasses,Entity,,,Radiated Jesse,,Verstrahlter Jesse

zombieBurnt,entityclasses,Entity,,,Rittman,,Rittman
zombieBurntFeral,entityclasses,Entity,,,Feral Rittman,,Wilder Rittman
zombieBurntRadiated,entityclasses,Entity,,,Radiated Rittman,,Verstrahlter Rittman

zombieBusinessMan,entityclasses,Entity,,,Jimmy,,Jimmy
zombieBusinessManFeral,entityclasses,Entity,,,Feral Jimmy,,Wilder Jimmy
zombieBusinessManRadiated,entityclasses,Entity,,,Radiated Jimmy,,Verstrahlter Jimmy

zombieDarlene,entityclasses,Entity,,,Jobell,,Jobell
zombieDarleneFeral,entityclasses,Entity,,,Feral Jobell,,Wilde Jobell
zombieDarleneRadiated,entityclasses,Entity,,,Radiated Jobell,,Verstrahlte Jobell

zombieDemolition,entityclasses,Entity,,,Chubbs,,Chubbs

zombieJoe,entityclasses,Entity,,,Donald,,Donald
zombieJoeFeral,entityclasses,Entity,,,Feral Donald,,Wilder Donald
zombieJoeRadiated,entityclasses,Entity,,,Radiated Donald,,Verstrahlter Donald

zombieLab,entityclasses,Entity,,,Jamie,,Jamie
zombieLabFeral,entityclasses,Entity,,,Feral Jamie,,Wilde Jamie
zombieLabRadiated,entityclasses,Entity,,,Radiated Jamie,,Verstrahlte Jamie

zombieLumberjack,entityclasses,Entity,,,Andy,,Andy
zombieLumberjackFeral,entityclasses,Entity,,,Feral Andy,,Wilder Andy
zombieLumberjackRadiated,entityclasses,Entity,,,Radiated Andy,,Verstrahlter Andy

zombieMaleHazmat,entityclasses,Entity,,,Dustin,,Dustin
